from,to,action,reaction,p_distribution,p_params1,p_params2,cost_id,p_description
39,1,Screen woman,,,NA,,1;2,
1,3,,Early presentation,Constant,0.8,,NA,P(early_presentation)
1,4,,Late presentation,Constant,0.2,,NA,
3,5,,Carrier woman,Constant,0.2,,NA,
3,6,,Healthy woman,Constant,0.8,,NA,
5,9,,Carrier partner,Constant,0.2,,1;2,
5,10,,Healthy partner,Constant,0.8,,1;2,
9,14,,High-risk foetus,Constant,0.6,,3,
9,15,,Low-risk foetus,Constant,0.4,,3,
10,50,,,Constant,0.5,,NA,
10,51,,,Constant,0.5,,NA,
15,48,,,Constant,0.5,,NA,
15,49,,,Constant,0.5,,NA,
14,18,,PND,Constant,0.7,,4,
14,38,,No PND,Constant,0.3,,NA,
38,45,,,Constant,0.25,,NA,
38,46,,,Constant,0.5,,NA,
38,47,,,Constant,0.25,,NA,
18,37,,T,Constant,0.25,,NA,
18,43,,,Constant,0.25,,NA,
18,44,,,Constant,0.5,,NA,
37,95,,Abortion,Constant,0.67,,5,
37,42,,No abortion,Constant,0.33,,NA,
6,52,,Healthy partner,Constant,0.8,,NA,
6,11,,Carrier partner,Constant,0.2,,NA,
11,53,,,Constant,0.5,,NA,
11,54,,,Constant,0.5,,NA,
4,7,,Carrier woman,Constant,0.2,,NA,
4,8,,Healthy woman,Constant,0.8,,NA,
7,16,,Carrier partner,Constant,0.2,,1;2,
7,12,,Healthy partner,Constant,0.8,,1;2,
12,58,,,Constant,0.5,,NA,
12,59,,,Constant,0.5,,NA,
16,55,,High-risk foetus,Constant,0.6,,3,
16,17,,Low-risk foetus,Constant,0.4,,3,
17,56,,,Constant,0.5,,NA,
17,57,,,Constant,0.5,,NA,
55,96,,,Constant,0.25,,NA,
55,97,,,Constant,0.5,,NA,
55,98,,,Constant,0.25,,NA,
8,60,,Healthy partner,Constant,0.8,,NA,
8,13,,Carrier partner,Constant,0.2,,NA,
13,61,,,Constant,0.5,,NA,
13,62,,,Constant,0.5,,NA,
39,2,No further testing,,,NA,,NA,
2,63,,Both healthy,Constant,0.56,,NA,
2,19,,One carrier,Constant,0.4,,NA,
2,20,,Both carriers,Constant,0.04,,NA,
19,64,,,Constant,0.5,,NA,
19,65,,,Constant,0.5,,NA,
20,66,,,Constant,0.25,,NA,
20,67,,,Constant,0.5,,NA,
20,68,,,Constant,0.25,,NA,
