node_id,type,label
1,decision,Potential carriers already pregnant
2,chance,
3,chance,
4,chance,
5,chance,
6,chance,Test male
7,chance,
8,chance,DNA analysis
9,chance,
10,chance,
11,chance,
12,chance,
13,chance,
14,chance,Test male
15,chance,
16,chance,DNA analysis
17,chance,
18,chance,
19,chance,
20,chance,
21,leaf,No baby
22,leaf,T1
23,leaf,H1
24,leaf,C1
25,leaf,T2
26,leaf,C2
27,leaf,H2
28,leaf,H3
29,leaf,C3
30,leaf,H4
31,leaf,H5
32,leaf,C4
33,leaf,T3
34,leaf,C5
35,leaf,H6
36,leaf,H7
37,leaf,C6
38,leaf,H8
39,leaf,H9
40,leaf,C7
41,leaf,H10
42,leaf,H11
43,leaf,C8
44,leaf,H12
45,leaf,C9
46,leaf,T4
