"strategy","management_cost_scenario","lifetime_management_cost_thb","simulations","base_case_bcr","median_bcr","lower_bcr_95_UI","upper_bcr_95_UI","probability_bcr_gt_1","base_case_net_cost_saving_thb","median_net_cost_saving_thb","lower_net_cost_saving_95_UI","upper_net_cost_saving_95_UI"
"Strategy 1: Post-conception screening","Lower-level hospital care",272968.848520497,10000,0.801871370205015,0.80347530830976,0.533819246998319,1.17951551504743,0.1364,-134.192539980492,-130.70475425248,-372.871355697368,103.451986634401
"Strategy 1: Post-conception screening","Average hospital care",683041.125804335,10000,2.00649680878868,2.01051029126012,1.33575864580157,2.95146354490037,0.9997,681.700385216267,674.07919924179,248.582803407091,1209.0728583271
"Strategy 1: Post-conception screening","Higher-level hospital care",949989.852098679,10000,2.79068351026885,2.79626555719897,1.85780491162999,4.10496573422688,1,1212.83011341071,1198.60835570217,625.575419001304,1952.65273368452
"Strategy 2: Pre-conception screening, targeted DNA","Lower-level hospital care",272968.848520497,10000,0.935625873249374,0.938253948675957,0.601826387565985,1.4763244505955,0.394,-60.0996847343846,-56.1892826327866,-461.376366032172,351.709786073545
"Strategy 2: Pre-conception screening, targeted DNA","Average hospital care",683041.125804335,10000,2.34118637807834,2.34776252626448,1.50593071528072,3.69415894983159,0.9998,1252.13160257393,1238.81052400487,537.667424017503,2107.7235847217
"Strategy 2: Pre-conception screening, targeted DNA","Higher-level hospital care",949989.852098679,10000,3.25617772784475,3.26532399123465,2.0944842754464,5.13792417732814,1,2106.36752671586,2086.25663099507,1153.93313195426,3277.03669424617
"Strategy 3: Pre-conception screening, universal DNA","Lower-level hospital care",272968.848520497,10000,0.145583385877598,0.146840337855786,0.0873783380916597,0.252676710759773,0,-5126.49968473441,-5042.59477186151,-7675.17993864191,-2976.35168578755
"Strategy 3: Pre-conception screening, universal DNA","Average hospital care",683041.125804335,10000,0.364288600428976,0.367433830732423,0.218643990860215,0.632264765438727,1e-04,-3814.26839742614,-3736.13285778012,-6461.26929958987,-1527.50112117874
"Strategy 3: Pre-conception screening, universal DNA","Higher-level hospital care",949989.852098679,10000,0.506661254452626,0.511035715605706,0.304095265559547,0.879368881777119,0.0065,-2960.03247328424,-2877.30082560833,-5689.14447239048,-508.959406066535
"Strategy 4: Combined screening","Lower-level hospital care",272968.848520497,10000,1.24002143138438,1.24672683935823,0.834409243260198,1.85728912109958,0.8582,234.779977777808,235.442508755109,-199.20872595898,680.766747830792
"Strategy 4: Combined screening","Average hospital care",683041.125804335,10000,3.10286554346764,3.11964426908509,2.08791527673237,4.64743452996887,1,2056.9443433341,2040.17127783722,1223.48466569098,3054.88567671653
"Strategy 4: Combined screening","Higher-level hospital care",949989.852098679,10000,4.31553923674768,4.33887548761976,2.90392225300026,6.46376253928252,1,3243.13634759756,3222.07260669918,2098.21450012713,4621.7587021381
