"strategy","outcome","simulations_used","baseline","median","lower_95_UI","upper_95_UI"
"Strategy 1: Post-conception screening","Incremental cost (THB)",1000,677.300096,670.818391717985,495.847074096311,906.219574772106
"Strategy 1: Post-conception screening","Severe thalassaemia births averted",1000,0.00198963200000002,0.00190751468067624,-0.000544910826460646,0.00497151167180942
"Strategy 1: Post-conception screening","ICER (THB per severe thalassaemia birth averted)",1000,340414.758106018,316410.705434234,-1591915.30782927,3550471.71552963
"Strategy 2: Pre-conception screening, targeted DNA","Incremental cost (THB)",1000,933.6,921.236251526695,646.526285940675,1271.43740922082
"Strategy 2: Pre-conception screening, targeted DNA","Severe thalassaemia births averted",1000,0.00319999999999998,0.00316284211883894,0.00196205713783451,0.0047562208354976
"Strategy 2: Pre-conception screening, targeted DNA","ICER (THB per severe thalassaemia birth averted)",1000,291750.000000002,294992.50331702,175959.440843817,481248.128189395
"Strategy 3: Pre-conception screening, universal DNA","Incremental cost (THB)",1000,6000,5927.8486690891,3906.75047886443,8667.93181383856
"Strategy 3: Pre-conception screening, universal DNA","Severe thalassaemia births averted",1000,0.00319999999999987,0.00315500711159306,0.00199868297852245,0.0048069441489799
"Strategy 3: Pre-conception screening, universal DNA","ICER (THB per severe thalassaemia birth averted)",1000,1875000.00000008,1887867.0426808,1038328.46758894,3319073.81272406
"Strategy 4: Combined screening","Incremental cost (THB)",1000,978.16256,973.435339558433,688.354314988925,1339.37524205093
"Strategy 4: Combined screening","Severe thalassaemia births averted",1000,0.00444352000000003,0.00436900316031563,0.00287185188868705,0.00634121101429352
"Strategy 4: Combined screening","ICER (THB per severe thalassaemia birth averted)",1000,220132.363531613,220206.812136757,143947.584323518,366849.763358302
