"strategy","coverage","total_cost_local","total_cost_usd"
"Strategy 1",0.25,42331250,1302500
"Strategy 1",0.5,84662500,2605000
"Strategy 1",0.75,126993750,3907500
"Strategy 2",0.25,2987520000,91923692.3076923
"Strategy 2",0.5,5975040000,183847384.615385
"Strategy 2",0.75,8962560000,275771076.923077
"Strategy 3",0.25,1.92e+10,590769230.769231
"Strategy 3",0.5,3.84e+10,1181538461.53846
"Strategy 3",0.75,5.76e+10,1772307692.30769
"Strategy 4",0.25,3130112000,96311138.4615385
"Strategy 4",0.5,6260224000,192622276.923077
"Strategy 4",0.75,9390336000,288933415.384615
