"individual_carrier_prevalence","both_carriers_probability","one_carrier_probability","neither_carrier_probability","strategy","incremental_cost_thb","births_averted_proportion","icer_thb_per_birth_averted","net_cost_saving_thb","cost_saving_at_average_management_cost"
0.01,1e-04,0.0198,0.9801,"Strategy 1: Post-conception screening",394.778516,7.772e-06,50794971.1785898,-389.469920370249,FALSE
0.01,1e-04,0.0198,0.9801,"Strategy 2: Pre-conception screening, targeted DNA",780.6,1.25e-05,62448000,-772.061985927446,FALSE
0.01,1e-04,0.0198,0.9801,"Strategy 3: Pre-conception screening, universal DNA",6000,1.25e-05,4.8e+08,-5991.46198592745,FALSE
0.01,1e-04,0.0198,0.9801,"Strategy 4: Combined screening",780.7740725,1.73575e-05,44981942.8201066,-768.918186158851,FALSE
0.02,4e-04,0.0392,0.9604,"Strategy 1: Post-conception screening",401.314064,3.1088e-05,12908970.1492537,-380.079681480995,FALSE
0.02,4e-04,0.0392,0.9604,"Strategy 2: Pre-conception screening, targeted DNA",782.4,5e-05,15648000,-748.247943709783,FALSE
0.02,4e-04,0.0392,0.9604,"Strategy 3: Pre-conception screening, universal DNA",6000,5e-05,1.2e+08,-5965.84794370978,FALSE
0.02,4e-04,0.0392,0.9604,"Strategy 4: Combined screening",783.09629,6.943e-05,11278932.5939795,-735.672744635405,FALSE
0.03,9e-04,0.0582,0.9409,"Strategy 1: Post-conception screening",409.606644,6.9948e-05,5855873.56321839,-361.829283332238,FALSE
0.03,9e-04,0.0582,0.9409,"Strategy 2: Pre-conception screening, targeted DNA",785.4,0.0001125,6981333.33333333,-708.557873347012,FALSE
0.03,9e-04,0.0582,0.9409,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0001125,53333333.3333333,-5923.15787334701,FALSE
0.03,9e-04,0.0582,0.9409,"Strategy 4: Combined screening",786.9666525,0.0001562175,5037634.40395602,-680.263675429661,FALSE
0.04,0.0016,0.0768,0.9216,"Strategy 1: Post-conception screening",419.656256,0.000124352,3374744.7246526,-334.718725923979,FALSE
0.04,0.0016,0.0768,0.9216,"Strategy 2: Pre-conception screening, targeted DNA",789.6,2e-04,3948000,-652.991774839133,FALSE
0.04,0.0016,0.0768,0.9216,"Strategy 3: Pre-conception screening, universal DNA",6000,2e-04,3e+07,-5863.39177483913,FALSE
0.04,0.0016,0.0768,0.9216,"Strategy 4: Combined screening",792.38516,0.00027772,2853180.03744779,-602.69097854162,FALSE
0.05,0.0025,0.095,0.9025,"Strategy 1: Post-conception screening",431.4629,0.0001943,2220601.64693772,-298.748009256218,FALSE
0.05,0.0025,0.095,0.9025,"Strategy 2: Pre-conception screening, targeted DNA",795,0.0003125,2544000,-581.549648186145,FALSE
0.05,0.0025,0.095,0.9025,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0003125,19200000,-5786.54964818615,FALSE
0.05,0.0025,0.095,0.9025,"Strategy 4: Combined screening",799.3518125,0.0004339375,1842089.73066398,-502.954653971281,FALSE
0.06,0.0036,0.1128,0.8836,"Strategy 1: Post-conception screening",445.026576,0.000279792,1590562.18905473,-253.917133328953,FALSE
0.06,0.0036,0.1128,0.8836,"Strategy 2: Pre-conception screening, targeted DNA",801.6,0.00045,1781333.33333333,-494.231493388049,FALSE
0.06,0.0036,0.1128,0.8836,"Strategy 3: Pre-conception screening, universal DNA",6000,0.00045,13333333.3333333,-5692.63149338805,FALSE
0.06,0.0036,0.1128,0.8836,"Strategy 4: Combined screening",807.86661,0.00062487,1292855.48994191,-381.054701718645,FALSE
0.07,0.0049,0.1302,0.8649,"Strategy 1: Post-conception screening",460.347284,0.000380828,1208806.29575556,-200.226098142187,FALSE
0.07,0.0049,0.1302,0.8649,"Strategy 2: Pre-conception screening, targeted DNA",809.4,0.0006125,1321469.3877551,-391.037310444845,FALSE
0.07,0.0049,0.1302,0.8649,"Strategy 3: Pre-conception screening, universal DNA",6000,0.0006125,9795918.36734694,-5581.63731044484,FALSE
